"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YHR174W",74360.1518079022,-1.08489651642386,0.242784291292464,-4.46856141576707,7.87474040384857e-06,0.000474359362422307
"YIL167W",939.694599354323,-0.758817567538388,0.199609803186121,-3.80150451243544,0.000143820119027848,0.00575735603070339
"YIL162W",4432.90810198114,-1.02006610828222,0.183341757795177,-5.5637412913964,2.6405132455244e-08,2.78354104632364e-06
"YIL140W",3154.017632818,1.09598890192612,0.227562994829176,4.81620002737634,1.46317853752309e-06,0.000108877697056865
"YIL111W",1981.40785340173,-2.11335409310325,0.195437768536523,-10.8134374892246,2.97315861518354e-27,3.76104564820718e-24
"YIL009W",4074.63555082741,0.954102321309083,0.26097303374577,3.65594217768313,0.000256239112263501,0.00890501310476179
"YIR033W",6833.91955668254,-0.90022552918569,0.214101783806258,-4.20466150809985,2.61473172952387e-05,0.00137818151576987
"YJL158C",4854.78430128613,1.33656207230703,0.307218179620181,4.35053053813237,1.35808538777604e-05,0.000764283363080932
"YJL153C",25943.5609508998,-0.907275017103969,0.226457883223251,-4.00637418397814,6.16579445650922e-05,0.00276586169768942
"YJL144W",7508.1488335422,-1.22843410351533,0.206576950718032,-5.94661746746416,2.73740112059148e-09,3.76392654081328e-07
"YJL133C-A",1719.99549041104,-2.28990227251795,0.229795820649382,-9.96494307880316,2.16998130167547e-23,1.37251317330973e-20
"YJL105W",694.025667621514,-0.76893944723899,0.208136064423482,-3.69440754714414,0.000220400065221464,0.00787587803686869
"YJL088W",1585.70676255941,-0.777393116143041,0.190526960679022,-4.08022630168706,4.49918772287449e-05,0.00212368375725233
"YJL082W",3511.24991029552,-0.841824271470828,0.222108886995717,-3.79014222644347,0.000150561050727676,0.00591489842144441
"YJL079C",3563.86564657368,0.880613424448394,0.197285190452708,4.46365701565162,8.05725044926786e-06,0.000480774614071879
"YJL052W",62570.1525470419,-0.987695235851015,0.212937560136958,-4.63842656605882,3.51071628041236e-06,0.000236226388017108
"YJL035C",993.153749873755,-1.01872729654699,0.250233567685792,-4.07110567126694,4.67905163670928e-05,0.00219222234090268
"YJL034W",63681.9581215292,-1.61315720324454,0.256241659956495,-6.29545251743385,3.06504375822382e-10,4.90523263471568e-08
"YJR048W",10006.92486715,1.26247281576583,0.309159140295532,4.08356943468986,4.43491696863289e-05,0.00210908645312805
"YJR115W",2116.12653617342,-1.27439952166004,0.288399616287221,-4.41886691135831,9.92197209747177e-06,0.000575747463454211
"YJR116W",1681.06952621548,-1.24650711637445,0.208981989361686,-5.96466288880578,2.45139616263797e-09,3.44557349526337e-07
"YJR121W",34840.7046386914,0.84676210238878,0.233898924434223,3.6202051994767,0.00029436947074107,0.00985125345204905
"YKL182W",84154.1405611555,-0.960285702758877,0.197037209888129,-4.8736261709354,1.09568235126205e-06,8.34962755630416e-05
"YKL096W",2206.07659535448,2.22654888916239,0.241965348462919,9.20193285239605,3.5156800390553e-20,1.85305635391873e-17
"YKL073W",2800.34052157617,-0.797953637418214,0.197340546999297,-4.04353615894789,5.265103185392e-05,0.00239581134155427
"YKL072W",1419.38421542251,-1.24065016073702,0.185997786353375,-6.67024153921879,2.55382760183375e-11,4.89483623684801e-09
